Date,Open,High,Low,Close,Adj_Close,Volume,sentiment
2018-02-01,1.16088,1.1626,0.930378,0.9625299999999999,0.9625299999999999,1410419968.0,30
2018-02-02,0.960642,0.960642,0.635185,0.884784,0.884784,3529760000.0,15
2018-02-03,0.891992,0.974799,0.7616350000000001,0.9240430000000001,0.9240430000000001,1988960000.0,40
2018-02-04,0.9134180000000001,0.952947,0.796821,0.815703,0.815703,1190960000.0,24
2018-02-05,0.825943,0.833866,0.6758270000000001,0.6917989999999999,0.6917989999999999,1286179968.0,11
2018-02-06,0.705121,0.786004,0.58836,0.776393,0.776393,2361139968.0,8
2018-02-07,0.774576,0.805478,0.70695,0.723895,0.723895,1133369984.0,36
2018-02-08,0.729252,0.80697,0.722611,0.8052630000000001,0.8052630000000001,947315008.0,30
2018-02-09,0.79714,0.954428,0.77154,0.954428,0.954428,1690339968.0,44
2018-02-10,0.9472510000000001,1.30059,0.9472510000000001,1.07074,1.07074,4682010112.0,54
2018-02-11,1.06733,1.0751,0.929767,1.00416,1.00416,2555310080.0,31
2018-02-12,1.0065,1.10673,1.0065,1.08101,1.08101,1756290048.0,42
2018-02-13,1.07974,1.08293,1.01471,1.02741,1.02741,921100032.0,35
2018-02-14,1.0260799999999999,1.1651,1.02129,1.14162,1.14162,1457600000.0,55
2018-02-15,1.13905,1.16396,1.1114700000000002,1.14686,1.14686,1188530048.0,71
2018-02-16,1.14494,1.15184,1.11261,1.1380299999999999,1.1380299999999999,568339008.0,67
2018-02-17,1.13743,1.21759,1.13252,1.20498,1.20498,1186729984.0,74
2018-02-18,1.20478,1.2073399999999999,1.09336,1.12046,1.12046,1113650048.0,63
2018-02-19,1.12315,1.1664299999999999,1.12097,1.14442,1.14442,556304000.0,67
2018-02-20,1.14455,1.17448,1.08365,1.08946,1.08946,806673024.0,74
2018-02-21,1.08199,1.09588,0.9988809999999999,1.01539,1.01539,871526016.0,54
2018-02-22,1.01226,1.04732,0.922458,0.941788,0.941788,889707008.0,44
2018-02-23,0.934176,1.02721,0.898286,0.9988549999999999,0.9988549999999999,896403968.0,39
2018-02-24,0.997659,1.01394,0.929456,0.9544020000000001,0.9544020000000001,489920000.0,31
2018-02-25,0.9519770000000001,0.9675969999999999,0.9152790000000001,0.9434870000000001,0.9434870000000001,360271008.0,33
2018-02-26,0.9437040000000001,0.9709059999999999,0.9134030000000001,0.956859,0.956859,458612992.0,37
2018-02-27,0.9593020000000001,0.9725799999999999,0.9449770000000001,0.947305,0.947305,312712992.0,44
2018-02-28,0.9446969999999999,0.95555,0.9037870000000001,0.904583,0.904583,329529984.0,41
2018-03-01,0.9041309999999999,0.9537959999999999,0.8906299999999999,0.9283469999999999,0.9283469999999999,475256992.0,38
2018-03-02,0.926638,0.9339120000000001,0.902286,0.9101440000000001,0.9101440000000001,271036000.0,47
2018-03-03,0.9087860000000001,0.9265120000000001,0.9036040000000001,0.907804,0.907804,280852992.0,56
2018-03-04,0.906008,1.02631,0.895618,1.0055399999999999,1.0055399999999999,797225984.0,44
2018-03-05,1.01429,1.0802100000000001,0.956116,0.959368,0.959368,1706819968.0,55
2018-03-06,0.954448,0.9913059999999999,0.9168629999999999,0.9228870000000001,0.9228870000000001,875180032.0,59
2018-03-07,0.924378,0.930659,0.824895,0.87121,0.87121,809598016.0,37
2018-03-08,0.872508,0.8885620000000001,0.8253870000000001,0.825857,0.825857,499496000.0,39
2018-03-09,0.8261219999999999,0.856182,0.7514850000000001,0.8497610000000001,0.8497610000000001,989203008.0,37
2018-03-10,0.854872,0.8604430000000001,0.793736,0.7966270000000001,0.7966270000000001,402670016.0,39
2018-03-11,0.795765,0.840407,0.775737,0.8311219999999999,0.8311219999999999,472972000.0,40
2018-03-12,0.8321270000000001,0.8383280000000001,0.787882,0.801048,0.801048,355031008.0,41
2018-03-13,0.798451,0.805729,0.778471,0.7897109999999999,0.7897109999999999,279679008.0,41
2018-03-14,0.789569,0.79908,0.67601,0.701902,0.701902,479148992.0,40
2018-03-15,0.702913,0.7306729999999999,0.643845,0.6972689999999999,0.6972689999999999,888345024.0,32
2018-03-16,0.699063,0.71178,0.674463,0.68926,0.68926,502740000.0,33
2018-03-17,0.6877449999999999,0.689434,0.626709,0.6378560000000001,0.6378560000000001,319824000.0,31
