Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01,3.115,3.18093,2.4198,2.63907,2.63907,217677.0
2018-02-02,2.63362,2.66945,2.15935,2.52417,2.52417,292511.0
2018-02-03,2.4820900000000004,3.01277,2.24019,2.82148,2.82148,127858.0
2018-02-04,2.80019,2.86565,2.11786,2.34966,2.34966,62665.0
2018-02-05,2.3282700000000003,2.4349,1.7162,1.8012400000000002,1.8012400000000002,136165.0
2018-02-06,1.80351,2.06822,1.42156,1.95043,1.95043,223420.0
2018-02-07,1.93084,2.36299,1.82858,1.96306,1.96306,95239.0
2018-02-08,1.95521,2.32097,1.95521,2.12745,2.12745,54548.0
2018-02-09,2.13928,2.28687,1.98239,2.27482,2.27482,65160.0
2018-02-10,2.27648,2.38004,2.05883,2.22303,2.22303,53289.0
2018-02-11,2.22301,2.22301,1.97379,2.04597,2.04597,23204.0
2018-02-12,2.02691,2.70777,2.02691,2.51983,2.51983,167141.0
2018-02-13,2.5245,2.75228,2.43802,2.60335,2.60335,131881.0
2018-02-14,2.59558,2.88214,2.49599,2.5221,2.5221,134474.0
2018-02-15,2.55057,2.91216,2.46069,2.75131,2.75131,105446.0
2018-02-16,2.73956,2.83174,2.55936,2.66764,2.66764,82123.0
2018-02-17,2.66703,2.78361,2.61188,2.73294,2.73294,69006.0
2018-02-18,2.74132,2.76379,2.45107,2.47711,2.47711,31953.0
2018-02-19,2.46572,2.60766,2.43592,2.45549,2.45549,76601.0
2018-02-20,2.45772,2.55331,2.1144700000000003,2.16198,2.16198,110893.0
2018-02-21,2.15929,2.17216,1.8452,1.91249,1.91249,103086.0
2018-02-22,1.91055,2.04143,1.6743,1.71501,1.71501,52788.0
2018-02-23,1.71341,1.83015,1.59094,1.82363,1.82363,70985.0
2018-02-24,1.82133,1.88316,1.61628,1.6606299999999998,1.6606299999999998,36943.0
2018-02-25,1.65812,1.71366,1.57755,1.66898,1.66898,26631.0
2018-02-26,1.6711200000000002,2.17247,1.62026,1.85281,1.85281,103757.0
2018-02-27,1.85816,1.97781,1.83433,1.8989,1.8989,28680.0
2018-02-28,1.89667,1.92956,1.7306099999999998,1.73215,1.73215,36094.0
2018-03-01,1.7347,1.86834,1.71005,1.8256,1.8256,41311.0
2018-03-02,1.82091,2.44505,1.82091,2.38123,2.38123,163987.0
2018-03-03,2.41115,2.5907,2.39717,2.50976,2.50976,76682.0
2018-03-04,2.50555,2.5066900000000003,2.3305,2.46516,2.46516,33244.0
2018-03-05,2.46336,2.63787,2.34126,2.3582,2.3582,98246.0
2018-03-06,2.35168,2.35168,2.12787,2.15204,2.15204,10380.0
2018-03-07,2.14925,2.22127,1.80606,1.8482,1.8482,71861.0
2018-03-08,1.84558,1.89722,1.6741,1.68862,1.68862,16203.0
2018-03-09,1.67523,1.69386,1.3904299999999998,1.53422,1.53422,158268.0
2018-03-10,1.5371,1.63913,1.4693200000000002,1.47662,1.47662,18399.0
2018-03-11,1.4715200000000002,1.6494099999999998,1.37827,1.62565,1.62565,23099.0
2018-03-12,1.62053,1.71878,1.57068,1.68107,1.68107,40465.0
2018-03-13,1.67142,1.73504,1.54139,1.57347,1.57347,33136.0
2018-03-14,1.59958,1.63594,1.3193,1.35478,1.35478,22735.0
2018-03-15,1.36188,1.37816,1.19739,1.28855,1.28855,44116.0
2018-03-16,1.28783,1.37266,1.23961,1.27366,1.27366,20715.0
2018-03-17,1.27576,1.2983,1.19672,1.21741,1.21741,7014.0
2018-03-18,1.21445,1.2442799999999998,1.09696,1.23366,1.23366,19075.0
2018-03-19,1.22846,1.30129,1.20238,1.23836,1.23836,22472.0
2018-03-20,1.2521799999999998,1.33564,1.22593,1.32248,1.32248,9094.0
2018-03-21,1.3248799999999998,1.40205,1.31257,1.35414,1.35414,14855.0
2018-03-22,1.35168,1.37985,1.28535,1.34004,1.34004,13147.0
2018-03-23,1.34,1.37116,1.28056,1.35273,1.35273,14863.0
2018-03-24,1.3724299999999998,1.37596,1.27307,1.2760200000000002,1.2760200000000002,14498.0
2018-03-25,1.24578,1.31689,1.22544,1.25817,1.25817,8470.0
2018-03-26,1.2572,1.28333,1.1582,1.2062700000000002,1.2062700000000002,15624.0
2018-03-27,1.20445,1.23145,1.12317,1.17452,1.17452,29692.0
2018-03-28,1.17425,1.1878,1.06984,1.09509,1.09509,49068.0
2018-03-29,1.11177,1.11349,0.937707,0.976162,0.976162,48240.0
2018-03-30,0.973735,0.983848,0.848469,0.903394,0.903394,46310.0
2018-03-31,0.903532,0.981526,0.8553370000000001,0.8566860000000001,0.8566860000000001,21774.0
2018-04-01,0.8566600000000001,0.901337,0.787656,0.824044,0.824044,30957.0
2018-04-02,0.828098,0.901293,0.793391,0.869813,0.869813,16589.0
2018-04-03,0.870431,0.991894,0.851816,0.957373,0.957373,14522.0
2018-04-04,0.956712,0.969694,0.8399129999999999,0.85269,0.85269,21505.0
2018-04-05,0.851554,0.8775129999999999,0.8170689999999999,0.875223,0.875223,7228.0
2018-04-06,0.870763,0.895584,0.773934,0.803532,0.803532,19396.0
2018-04-07,0.804492,0.926085,0.803298,0.855151,0.855151,27177.0
2018-04-08,0.855924,0.997824,0.844614,0.993017,0.993017,28825.0
2018-04-09,0.994626,1.02177,0.934273,0.945417,0.945417,31199.0
2018-04-10,0.946188,1.0729799999999998,0.905686,1.04372,1.04372,114186.0
2018-04-11,1.0450700000000002,1.11926,1.01045,1.10763,1.10763,76626.0
2018-04-12,1.10496,1.21722,1.03275,1.10369,1.10369,127459.0
2018-04-13,1.1157700000000002,1.27243,1.08676,1.1876799999999998,1.1876799999999998,100708.0
2018-04-14,1.18004,1.30305,1.17864,1.28338,1.28338,54065.0
2018-04-15,1.28476,1.41729,1.28476,1.37688,1.37688,110297.0
2018-04-16,1.39416,1.41176,1.30975,1.32911,1.32911,63557.0
2018-04-17,1.32978,1.36131,1.19036,1.20919,1.20919,108026.0
2018-04-18,1.21031,1.42404,1.21031,1.41138,1.41138,163455.0
2018-04-19,1.41243,1.4288299999999998,1.3568,1.39048,1.39048,103235.0
2018-04-20,1.4057,1.4057,1.30447,1.37011,1.37011,214038.0
2018-04-21,1.37049,1.44292,1.32068,1.34889,1.34889,72384.0
2018-04-22,1.34826,1.44507,1.33598,1.3428,1.3428,47685.0
2018-04-23,1.34001,1.6849299999999998,1.33889,1.6764599999999998,1.6764599999999998,248713.0
2018-04-24,1.66298,1.81037,1.61446,1.80475,1.80475,299631.0
2018-04-25,1.7566099999999998,1.7566099999999998,1.53515,1.5373,1.5373,110451.0
2018-04-26,1.54854,1.6732599999999995,1.4907700000000002,1.6526,1.6526,109858.0
2018-04-27,1.6548900000000002,1.66152,1.54387,1.55057,1.55057,76014.0
2018-04-28,1.54525,1.6889900000000002,1.51328,1.6503,1.6503,54657.0
2018-04-29,1.64966,1.7018,1.55873,1.59033,1.59033,42633.0
2018-04-30,1.5898,1.68219,1.49971,1.61564,1.61564,85780.0
2018-05-01,1.59912,1.70053,1.50001,1.59261,1.59261,203614.0
2018-05-02,1.59021,1.7123400000000002,1.54999,1.67,1.67,108385.0
2018-05-03,1.67006,1.70727,1.6201299999999998,1.6881700000000002,1.6881700000000002,113411.0
2018-05-04,1.65915,1.75288,1.63301,1.69711,1.69711,34207.0
2018-05-05,1.6963099999999998,1.75183,1.5630000000000002,1.6225,1.6225,73154.0
2018-05-06,1.6236,1.73305,1.4918,1.6272,1.6272,54155.0
2018-05-07,1.62837,1.6615799999999998,1.46897,1.60788,1.60788,65881.0
2018-05-08,1.61129,1.6354,1.52552,1.56751,1.56751,51721.0
2018-05-09,1.56511,1.68775,1.50034,1.63094,1.63094,94241.0
2018-05-10,1.63048,1.6860700000000002,1.52237,1.53443,1.53443,69073.0
2018-05-11,1.53627,1.58541,1.39202,1.43151,1.43151,60097.0
2018-05-12,1.42731,1.43852,1.27515,1.33794,1.33794,39294.0
2018-05-13,1.33748,1.3864299999999998,1.29817,1.37323,1.37323,41613.0
2018-05-14,1.37298,1.43918,1.27847,1.3492,1.3492,54005.0
2018-05-15,1.34688,1.47926,1.2778,1.30431,1.30431,69251.0
2018-05-16,1.30356,1.30463,1.24204,1.2800200000000002,1.2800200000000002,10084.0
2018-05-17,1.2808,1.3036299999999998,1.08622,1.09265,1.09265,73105.0
2018-05-18,1.09361,1.15308,1.04348,1.15272,1.15272,26836.0
2018-05-19,1.15255,1.29521,1.138,1.20714,1.20714,38655.0
2018-05-20,1.20804,1.26561,1.20804,1.23263,1.23263,13528.0
2018-05-21,1.23417,1.24177,1.14386,1.17619,1.17619,9902.0
2018-05-22,1.17598,1.17688,1.07565,1.08175,1.08175,4965.0
2018-05-23,1.08062,1.0836,0.944098,1.00489,1.00489,19244.0
2018-05-24,1.00235,1.01922,0.947733,1.00396,1.00396,7354.0
2018-05-25,1.00585,1.0467,0.930351,0.96306,0.96306,6171.0
2018-05-26,0.961797,0.98149,0.919273,0.939062,0.939062,8146.0
2018-05-27,0.939478,1.00483,0.910176,0.946014,0.946014,17882.0
2018-05-28,0.946234,0.969405,0.888508,0.890174,0.890174,8276.0
2018-05-29,0.889884,0.935328,0.8622350000000001,0.903728,0.903728,38072.0
2018-05-30,0.904336,0.926324,0.8153090000000001,0.851455,0.851455,30350.0
2018-05-31,0.8512959999999999,0.909005,0.814761,0.8968440000000001,0.8968440000000001,32133.0
2018-06-01,0.8974979999999999,0.910841,0.824868,0.892684,0.892684,24678.0
2018-06-02,0.8922979999999999,0.898185,0.838313,0.8559399999999999,0.8559399999999999,31099.0
2018-06-03,0.8561719999999999,0.868324,0.839073,0.85529,0.85529,8484.0
2018-06-04,0.855765,0.90101,0.843407,0.857626,0.857626,10260.0
2018-06-05,0.858039,0.916764,0.827516,0.887661,0.887661,22873.0
2018-06-06,0.8874219999999999,0.917685,0.8626299999999999,0.895783,0.895783,12081.0
2018-06-07,0.8966059999999999,0.902499,0.839192,0.844512,0.844512,10672.0
2018-06-08,0.8451540000000001,0.867894,0.8331639999999999,0.84911,0.84911,5346.0
