Date,Open,High,Low,Close,Adj_Close,Volume,sentiment,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_5,RSI_12,RSI_26,RSI_13,RSI_30,RSI_20,RSI_50,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1,pct_change,trend
2018-02-01,0.7974453077959688,0.6702755438865248,0.9264591022558464,0.6783176215766624,0.6783176215766624,0.37703563597060996,0.3157894736842105,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03006376186360796,0.0,0.0,,0
2018-02-02,0.6742112075497975,0.5624980903785634,0.8267416573502612,0.6487849851861315,0.6487849851861315,0.5066546806203645,0.15789473684210525,0.938292824395053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07779161914420546,0.0,0.6783176215766624,-0.0007830040915675693,-1
2018-02-03,0.635419269350657,0.6348413986962949,0.8576925433021426,0.7252022882781135,0.7252022882781135,0.2214612583962947,0.42105263157894735,0.9466368064910887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15981888024165056,0.11335400713607836,0.3447571368518251,0.1812564232595866,0.09408596738642025,0.16985260887170897,0.08293202056098704,0.11823129653811836,0.052632216445429994,0.028518686891187844,0.016906993643020007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12345242926446896,0.0,0.6487849851861315,0.002118292012922211,1
2018-02-04,0.7168534113763062,0.6038407359918073,0.8108565477740172,0.6039308478796773,0.6039308478796773,0.10854127045162452,0.25263157894736843,0.941569008241647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12631518293755273,0.09586936868175146,0.20901528064706076,0.13889858730701624,0.08187326338963355,0.1323146299944746,0.07337751947845503,0.09928002761114445,0.04874943370705724,0.02741053197147102,0.016569459310094622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14349493717354062,0.0,0.7252022882781135,-0.0030074213792279218,-1
2018-02-05,0.5960410872494768,0.5130744536375522,0.6570745976078534,0.4629709832208874,0.4629709832208874,0.23584971022174187,0.11578947368421053,0.9059070219965812,0.0,0.0,0.9140098845099996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9223850040397119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10016470977413205,0.08070981382591837,0.13491950576472647,0.10731846234537802,0.0707829683059125,0.10364259264526157,0.06445802683792516,0.08303585043991765,0.04482855605198856,0.02621468947343351,0.016191842910780786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05805848176797104,0.0,0.0,0.0,0.0,-0.03903579314561902,0.0,0.6039308478796773,-0.004197620511770274,-1
2018-02-06,0.4617016330860698,0.43580879974629694,0.5442669647916444,0.5013171453018561,0.5013171453018561,0.3869830151488383,0.08421052631578947,0.8541404492305207,0.0,0.0,0.8621440740389263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8619986651580139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15276734851291457,0.12178726877117418,0.22578120556968878,0.1647481058067255,0.10648500268940142,0.15853471716704762,0.09683761176433463,0.12540985614658817,0.06720064004952009,0.039296758212360346,0.024288056394189426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33236970607273697,0.0,0.0,0.0,0.0,-0.0033046589411431207,0.0,0.4629709832208874,0.001489577294569848,1
2018-02-07,0.4942983300496849,0.49792180508480827,0.7001010766191402,0.5045634220434785,0.5045634220434785,0.1649622924526014,0.37894736842105264,0.8453049441310483,0.0,0.0,0.819883350128866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8233410409983388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15724399528226995,0.12525998774376038,0.23396805573260757,0.1696560718689534,0.10949823981886421,0.163214981827659,0.09956866383940312,0.12899407934160245,0.06908674858639986,0.040400956210070296,0.024972260002458186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34030706192143073,0.2567194072565052,0.0,0.0,0.0,-0.04301289654271964,0.0,0.5013171453018561,0.00011645761583883715,0
2018-02-08,0.5005370915748815,0.4890674831242144,0.7485833958681104,0.5468164254920371,0.5468164254920371,0.09448191527320218,0.3157894736842105,0.8422330422355212,0.0,0.0,0.76761158485058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8183937832634275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2152020796190571,0.1701027764088879,0.342783573214355,0.23332379255207486,0.14839688481406033,0.22386201858638702,0.13482787618509384,0.17528379677889258,0.09347081303228803,0.05471170939301986,0.03385636490882862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4888130241189954,0.4080506189660785,0.0,0.0,0.0,-0.038559587344124235,0.0,0.5045634220434785,0.001506040788853777,1
2018-02-09,0.5476593252204687,0.4818820386012194,0.7589896932477757,0.5846947947250445,0.5846947947250445,0.11286282905334484,0.4631578947368421,0.8397789302344257,0.0,0.0,0.7619749136498726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8337640544266306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26401721491641383,0.20836286732788256,0.4302681150354683,0.2866661811700738,0.18179423378459433,0.27481418472218766,0.16522072061112628,0.2147197043905059,0.1147499256340324,0.06734883494162927,0.04175703659941809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8420273550831904,0.5871018000885123,0.4621904503242148,0.0,0.0,0.013550933219462696,0.0,0.5468164254920371,0.0012457894082169017,1
2018-02-10,0.5827827590020439,0.5015145273463057,0.7882559688806531,0.5713832608811314,0.5713832608811314,0.09230121696475894,0.5684210526315789,0.8385244007435795,0.0,0.0,0.7937425719308234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8374502812385857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25815429324517764,0.20501735856016212,0.40775329889930106,0.27946855683057653,0.17934118907696536,0.2683406723666533,0.16324002453860342,0.21113379251656877,0.11386025482878569,0.06706923592582179,0.04166689590680298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8361885485351808,0.7613131869819114,0.6366416229695874,0.0,0.0,0.046328021545434334,0.0,0.5846947947250445,-0.00040944331591358533,-1
