class,f1_score,precision,recall,support
0,0.3333333333333333,0.3333333333333333,0.3333333333333333,9.0
1,0.4999999999999999,0.46153846153846156,0.5454545454545454,11.0
2,0.39999999999999997,0.42857142857142855,0.375,16.0
