performance_name,value
macro_avg_precision,0.37606837606837606
macro_avg_recall,0.3266879319510898
macro_avg_f1,0.3222222222222222
weighted_avg_precision,0.4241452991452992
weighted_avg_recall,0.4166666666666667
weighted_avg_f1-score,0.3907407407407407
accuracy,0.4166666666666667
support,36.0
