Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2018-02-01,3.86782,3.92225,3.02411,3.37172,3.37172,3224510.0,30
2018-02-02,3.36873,3.36873,2.47506,3.20746,3.20746,4220150.0,15
2018-02-03,3.24815,3.50645,2.87649,3.37079,3.37079,2308280.0,40
2018-02-04,3.3643300000000003,3.40858,2.79625,2.92451,2.92451,1459500.0,24
2018-02-05,2.93991,2.98047,2.10916,2.30186,2.30186,3058160.0,11
2018-02-06,2.30591,2.91602,1.80265,2.89298,2.89298,4045970.0,8
2018-02-07,2.83936,3.3351800000000003,2.74093,2.79253,2.79253,4557510.0,36
2018-02-08,2.78234,3.18935,2.78234,3.09974,3.09974,1646600.0,30
2018-02-09,3.10382,3.38794,2.9582200000000003,3.3491800000000005,3.3491800000000005,2048370.0,44
2018-02-10,3.3802800000000004,3.68448,3.15749,3.31423,3.31423,2809750.0,54
2018-02-11,3.32168,3.32168,2.88099,3.05885,3.05885,1392620.0,31
2018-02-12,3.08667,3.42377,3.0825400000000003,3.2875,3.2875,1853080.0,42
2018-02-13,3.2871900000000003,3.32939,3.0775200000000003,3.14245,3.14245,2042370.0,35
2018-02-14,3.1183400000000003,3.52577,3.1183400000000003,3.52577,3.52577,2178000.0,55
2018-02-15,3.5227800000000005,4.414630000000002,3.51894,4.3007,4.3007,10352700.0,71
2018-02-16,4.289,4.60529,3.98327,4.45843,4.45843,8192600.0,67
2018-02-17,4.46508,5.0248800000000005,4.3379400000000015,4.56266,4.56266,10650300.0,74
2018-02-18,4.57315,4.57315,3.97027,4.3896,4.3896,3729910.0,63
2018-02-19,4.3867699999999985,4.7024599999999985,4.25714,4.5708199999999986,4.5708199999999986,5089510.0,67
2018-02-20,4.56883,5.31989,4.5529,4.90295,4.90295,13564600.0,74
2018-02-21,4.84302,4.84302,4.20051,4.27658,4.27658,3406820.0,54
2018-02-22,4.29408,4.3650400000000005,3.69567,3.85343,3.85343,2641010.0,44
2018-02-23,3.83205,4.29595,3.6278,4.11581,4.11581,3213200.0,39
2018-02-24,4.1036800000000015,4.29196,3.60462,3.76808,3.76808,1904940.0,31
2018-02-25,3.76618,3.78451,3.51698,3.68403,3.68403,835682.0,33
2018-02-26,3.69491,4.1775,3.67692,4.1406800000000015,4.1406800000000015,2756120.0,37
2018-02-27,4.15297,4.2939300000000005,4.01762,4.10655,4.10655,1886830.0,44
2018-02-28,4.10025,4.16176,3.69662,3.69662,3.69662,1757960.0,41
2018-03-01,3.77285,3.94371,3.69955,3.92181,3.92181,2016160.0,38
2018-03-02,3.9101,3.98772,3.6882,3.79592,3.79592,2208920.0,47
2018-03-03,3.7673,4.11867,3.75972,3.95839,3.95839,2780460.0,56
2018-03-04,3.93161,4.11458,3.83186,3.94733,3.94733,2615000.0,44
2018-03-05,3.92685,4.0403699999999985,3.73773,3.78176,3.78176,3384250.0,55
2018-03-06,3.76127,3.76127,3.19332,3.26751,3.26751,4634330.0,59
2018-03-07,3.27504,3.31962,2.86021,3.07402,3.07402,2627780.0,37
2018-03-08,3.08725,3.17152,2.85809,2.87285,2.87285,1865980.0,39
2018-03-09,2.84701,2.88899,2.38873,2.74569,2.74569,2000500.0,37
2018-03-10,2.73414,2.83678,2.55342,2.56505,2.56505,1013880.0,39
2018-03-11,2.56543,2.7793400000000004,2.40039,2.68818,2.68818,1175620.0,40
2018-03-12,2.67647,2.79643,2.45752,2.55918,2.55918,923645.0,41
2018-03-13,2.54692,2.65822,2.45585,2.52726,2.52726,1068540.0,41
2018-03-14,2.53575,2.60216,2.16931,2.20808,2.20808,2068900.0,40
2018-03-15,2.19073,2.26914,1.98328,2.11937,2.11937,1257770.0,32
2018-03-16,2.13173,2.24186,2.03247,2.19663,2.19663,669594.0,33
2018-03-17,2.1983900000000003,2.22875,1.96541,2.03464,2.03464,789191.0,31
2018-03-18,2.0181400000000003,2.0181400000000003,1.7014900000000002,1.90109,1.90109,1356610.0,29
2018-03-19,1.89417,2.11215,1.86566,2.06898,2.06898,1764940.0,29
2018-03-20,2.10454,2.35305,2.00714,2.29176,2.29176,2043110.0,37
2018-03-21,2.30065,2.48926,2.29373,2.33353,2.33353,2781720.0,36
2018-03-22,2.3189,2.61898,2.31454,2.59747,2.59747,3142730.0,36
2018-03-23,2.62308,2.7208,2.34792,2.42574,2.42574,2692940.0,28
2018-03-24,2.45505,2.56516,2.39919,2.4079200000000003,2.4079200000000003,1454820.0,32
2018-03-25,2.3906,2.39506,2.2688200000000003,2.30304,2.30304,1102320.0,30
2018-03-26,2.29862,2.33593,1.93855,2.08266,2.08266,2225970.0,31
2018-03-27,2.08976,2.11398,1.90166,1.90347,1.90347,1126670.0,24
2018-03-28,1.90399,2.01015,1.88345,2.00155,2.00155,818972.0,24
2018-03-29,1.99295,2.00168,1.61847,1.67534,1.67534,895714.0,18
2018-03-30,1.66545,1.69769,1.51268,1.5749799999999998,1.5749799999999998,677697.0,12
2018-03-31,1.57676,1.7300400000000002,1.57676,1.6454799999999998,1.6454799999999998,842745.0,16
2018-04-01,1.63852,1.7197,1.51243,1.56532,1.56532,710120.0,16
2018-04-02,1.55959,1.85228,1.55959,1.77652,1.77652,2333680.0,11
2018-04-03,1.78293,2.33892,1.77273,2.07446,2.07446,6865930.0,22
2018-04-04,2.04476,2.15903,1.7707099999999998,1.79434,1.79434,1647630.0,22
2018-04-05,1.79601,2.52582,1.79296,2.0322,2.0322,24694800.0,17
2018-04-06,2.02136,2.04178,1.79552,1.86885,1.86885,1838410.0,19
2018-04-07,1.86619,1.96591,1.83116,1.95543,1.95543,694676.0,20
2018-04-08,1.95631,1.98982,1.90235,1.97437,1.97437,781915.0,17
2018-04-09,1.97615,2.00855,1.81804,1.84829,1.84829,836002.0,21
2018-04-10,1.86132,2.0594200000000003,1.8011099999999998,1.95746,1.95746,2931670.0,18
2018-04-11,1.96534,2.06377,1.93191,2.06377,2.06377,1310350.0,20
2018-04-12,2.05825,2.2574,1.95924,2.23331,2.23331,2670850.0,18
2018-04-13,2.22352,2.39646,2.16155,2.26103,2.26103,2842680.0,23
2018-04-14,2.25676,2.32096,2.2252400000000003,2.24943,2.24943,1064790.0,23
2018-04-15,2.26034,2.40408,2.23676,2.39358,2.39358,1473400.0,23
2018-04-16,2.40408,2.42064,2.2178,2.25648,2.25648,1672980.0,23
2018-04-17,2.27537,2.28963,2.21165,2.25891,2.25891,1490460.0,26
2018-04-18,2.25042,2.53309,2.25042,2.49721,2.49721,5973820.0,24
2018-04-19,2.48999,2.60775,2.43608,2.5958,2.5958,4555080.0,25
2018-04-20,2.58842,2.72495,2.48718,2.70804,2.70804,4432940.0,26
2018-04-21,2.72558,2.72558,2.43384,2.56711,2.56711,2349720.0,32
2018-04-22,2.59016,2.6181400000000004,2.5199,2.56463,2.56463,1754140.0,31
2018-04-23,2.56496,2.71334,2.53983,2.67469,2.67469,2296930.0,28
2018-04-24,2.66673,2.98316,2.6589400000000003,2.9184,2.9184,4513660.0,29
2018-04-25,2.8993900000000004,2.9218900000000003,2.40961,2.46969,2.46969,2318130.0,64
2018-04-26,2.48257,2.6600200000000003,2.41786,2.6600200000000003,2.6600200000000003,2042970.0,47
2018-04-27,2.64328,2.70075,2.54105,2.55183,2.55183,1704490.0,55
2018-04-28,2.55127,2.7657,2.54156,2.6682,2.6682,1184790.0,54
2018-04-29,2.68277,2.84913,2.59123,2.84913,2.84913,2909460.0,61
2018-04-30,2.84031,2.8486,2.60904,2.66986,2.66986,1877000.0,59
2018-05-01,2.6861,2.70712,2.52116,2.64264,2.64264,2232430.0,56
2018-05-02,2.64222,2.71945,2.57917,2.67334,2.67334,1825030.0,52
2018-05-03,2.67776,2.83929,2.64863,2.75693,2.75693,4071700.0,55
2018-05-04,2.76687,2.80208,2.65762,2.73979,2.73979,1752160.0,56
2018-05-05,2.73928,2.80687,2.61452,2.66719,2.66719,1457850.0,63
2018-05-06,2.67939,2.67939,2.46218,2.52094,2.52094,1563950.0,67
2018-05-07,2.51905,2.56095,2.39387,2.48952,2.48952,1069360.0,56
2018-05-08,2.4833,2.55691,2.38218,2.47223,2.47223,1104680.0,62
2018-05-09,2.47421,2.67093,2.38154,2.55159,2.55159,3963120.0,53
2018-05-10,2.54925,2.57797,2.39953,2.41207,2.41207,1830810.0,63
2018-05-11,2.4032,2.40813,1.95522,2.06334,2.06334,4370120.0,41
2018-05-12,2.05811,2.18246,1.99405,2.12173,2.12173,3686150.0,44
2018-05-13,2.11603,2.23848,2.10146,2.21334,2.21334,1650690.0,40
2018-05-14,2.21366,2.53458,2.08998,2.50517,2.50517,4852200.0,40
2018-05-15,2.50952,2.77352,2.35209,2.37432,2.37432,4993860.0,40
2018-05-16,2.3597,2.39033,2.15098,2.26035,2.26035,1670700.0,32
2018-05-17,2.27172,2.39153,2.20458,2.22581,2.22581,1676050.0,31
