Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2018-02-01,0.44367,0.455812,0.370398,0.391917,0.391917,41127300.0,30
2018-02-02,0.391533,0.391533,0.240074,0.316421,0.316421,63091900.0,15
2018-02-03,0.318595,0.354304,0.282331,0.334895,0.334895,22302200.0,40
2018-02-04,0.333039,0.340822,0.259487,0.268479,0.268479,24899100.0,24
2018-02-05,0.267844,0.292925,0.195244,0.20049,0.20049,77308096.0,11
2018-02-06,0.201382,0.2313510000000001,0.163092,0.227806,0.227806,90730896.0,8
2018-02-07,0.226248,0.257103,0.200071,0.214035,0.214035,43528600.0,36
2018-02-08,0.214133,0.245627,0.214133,0.236417,0.236417,28156600.0,30
2018-02-09,0.23672,0.26234,0.218353,0.26234,0.26234,22926300.0,44
2018-02-10,0.260845,0.283525,0.232362,0.246743,0.246743,29982000.0,54
2018-02-11,0.247007,0.25246,0.223785,0.236442,0.236442,19805800.0,31
2018-02-12,0.236452,0.25474,0.236231,0.246291,0.246291,15172900.0,42
2018-02-13,0.246237,0.247041,0.230715,0.238774,0.238774,14481500.0,35
2018-02-14,0.238037,0.276495,0.238037,0.275119,0.275119,25371400.0,55
2018-02-15,0.275097,0.277118,0.259095,0.271683,0.271683,19625000.0,71
2018-02-16,0.271496,0.278793,0.252434,0.275096,0.275096,18504800.0,67
2018-02-17,0.275118,0.287607,0.270073,0.281891,0.281891,20419900.0,74
2018-02-18,0.282589,0.283844,0.252373,0.257463,0.257463,17434100.0,63
2018-02-19,0.256535,0.27569,0.255371,0.267527,0.267527,12585100.0,67
2018-02-20,0.26805500000000004,0.270194,0.244952,0.246748,0.246748,20455000.0,74
2018-02-21,0.247516,0.247516,0.216793,0.218266,0.218266,19621600.0,54
2018-02-22,0.218098,0.252661,0.209641,0.224641,0.224641,23681500.0,44
2018-02-23,0.224579,0.235394,0.216613,0.227106,0.227106,12785300.0,39
2018-02-24,0.226998,0.2331300000000001,0.213508,0.215549,0.215549,11762500.0,31
2018-02-25,0.215973,0.218646,0.208655,0.215301,0.215301,6867630.0,33
2018-02-26,0.214863,0.223617,0.209016,0.221245,0.221245,6292130.0,37
2018-02-27,0.220645,0.2263550000000001,0.21708,0.22029,0.22029,10929600.0,44
2018-02-28,0.220248,0.234316,0.213312,0.221125,0.221125,15923400.0,41
2018-03-01,0.220915,0.24584,0.220598,0.239448,0.239448,20483300.0,38
2018-03-02,0.238805,0.240513,0.227286,0.229927,0.229927,10685700.0,47
2018-03-03,0.229867,0.234551,0.207741,0.216669,0.216669,17722500.0,56
2018-03-04,0.216346,0.227727,0.209579,0.227727,0.227727,8802090.0,44
2018-03-05,0.227786,0.230372,0.214232,0.214232,0.214232,9874860.0,55
2018-03-06,0.213351,0.215692,0.18859,0.189021,0.189021,18815600.0,59
2018-03-07,0.19025,0.199253,0.165035,0.176598,0.176598,18907400.0,37
2018-03-08,0.17658,0.185804,0.162967,0.164952,0.164952,12021900.0,39
2018-03-09,0.164652,0.168923,0.150714,0.168227,0.168227,11478600.0,37
2018-03-10,0.168647,0.177056,0.160923,0.160923,0.160923,8245420.0,39
2018-03-11,0.16112,0.179255,0.153101,0.169669,0.169669,8714740.0,40
2018-03-12,0.16989300000000002,0.176811,0.157579,0.163777,0.163777,6631400.0,41
2018-03-13,0.163392,0.170901,0.159276,0.164237,0.164237,5362620.0,41
2018-03-14,0.163615,0.167048,0.136855,0.145028,0.145028,7881060.0,40
2018-03-15,0.144808,0.154313,0.134489,0.149526,0.149526,11560000.0,32
2018-03-16,0.149341,0.157907,0.145459,0.148263,0.148263,7742360.0,33
2018-03-17,0.148256,0.154514,0.135231,0.137167,0.137167,4655430.0,31
2018-03-18,0.136521,0.136521,0.113737,0.132417,0.132417,10667800.0,29
2018-03-19,0.132717,0.149148,0.130287,0.148881,0.148881,9026640.0,29
2018-03-20,0.14964,0.167699,0.146384,0.16181600000000002,0.16181600000000002,11605300.0,37
2018-03-21,0.161575,0.171167,0.15483,0.160093,0.160093,9552080.0,36
2018-03-22,0.159553,0.171216,0.152411,0.161576,0.161576,8015820.0,36
2018-03-23,0.161676,0.167376,0.15243199999999998,0.167376,0.167376,6303730.0,28
2018-03-24,0.168396,0.170835,0.15878599999999998,0.16295,0.16295,6356520.0,32
2018-03-25,0.162244,0.166219,0.155549,0.16251,0.16251,5347140.0,30
2018-03-26,0.162596,0.164443,0.142512,0.151768,0.151768,6004460.0,31
2018-03-27,0.151746,0.155246,0.139967,0.144715,0.144715,5892840.0,24
2018-03-28,0.14418699999999998,0.152469,0.141045,0.143017,0.143017,4479340.0,24
2018-03-29,0.14291900000000002,0.143878,0.123973,0.12804400000000002,0.12804400000000002,8185460.0,18
2018-03-30,0.127878,0.133034,0.121441,0.126497,0.126497,8922080.0,12
2018-03-31,0.12644,0.13278099999999998,0.12644,0.12804100000000002,0.12804100000000002,4803920.0,16
2018-04-01,0.128021,0.1304,0.120344,0.128162,0.128162,4290330.0,16
2018-04-02,0.128486,0.15063800000000002,0.128486,0.14774,0.14774,15182400.0,11
2018-04-03,0.148162,0.163223,0.148162,0.152023,0.152023,15691500.0,22
2018-04-04,0.151866,0.15195899999999998,0.134961,0.137514,0.137514,7175230.0,22
2018-04-05,0.13761800000000002,0.148057,0.134668,0.144414,0.144414,8183290.0,17
2018-04-06,0.143875,0.148857,0.137542,0.138352,0.138352,8316210.0,19
2018-04-07,0.138524,0.145262,0.138351,0.142206,0.142206,7011680.0,20
2018-04-08,0.142585,0.145929,0.14103,0.143767,0.143767,6188610.0,17
2018-04-09,0.143921,0.147448,0.136769,0.138057,0.138057,9312640.0,21
2018-04-10,0.138364,0.143599,0.136985,0.14261600000000002,0.14261600000000002,6488910.0,18
2018-04-11,0.142778,0.157114,0.141794,0.155961,0.155961,11438600.0,20
2018-04-12,0.15526900000000002,0.178671,0.150396,0.178671,0.178671,25591300.0,18
2018-04-13,0.179179,0.206899,0.179179,0.188711,0.188711,32895600.0,23
2018-04-14,0.185877,0.195576,0.178044,0.186482,0.186482,20346000.0,23
2018-04-15,0.186628,0.232528,0.186628,0.228075,0.228075,61641300.0,23
2018-04-16,0.228463,0.228807,0.201256,0.210624,0.210624,21535400.0,23
2018-04-17,0.210706,0.218607,0.209785,0.210059,0.210059,16085900.0,26
2018-04-18,0.21013,0.229439,0.21013,0.227617,0.227617,21440100.0,24
2018-04-19,0.227718,0.243768,0.225594,0.243768,0.243768,23557100.0,25
2018-04-20,0.243942,0.27768000000000004,0.243653,0.27768000000000004,0.27768000000000004,46027200.0,26
2018-04-21,0.278986,0.282869,0.244869,0.26462800000000003,0.26462800000000003,51438300.0,32
2018-04-22,0.265416,0.27483,0.25624,0.262214,0.262214,37528700.0,31
2018-04-23,0.261427,0.273497,0.261167,0.269111,0.269111,20662800.0,28
2018-04-24,0.26926,0.303503,0.26926,0.298161,0.298161,36385500.0,29
2018-04-25,0.295727,0.295727,0.245942,0.245942,0.245942,52750000.0,64
2018-04-26,0.246589,0.274379,0.235871,0.274371,0.274371,27042700.0,47
2018-04-27,0.275054,0.28047,0.26171700000000003,0.26171700000000003,0.26171700000000003,19520200.0,55
2018-04-28,0.260948,0.284304,0.25769699999999995,0.280736,0.280736,17853400.0,54
2018-04-29,0.280632,0.353691,0.27824,0.34213000000000005,0.34213000000000005,63487900.0,61
2018-04-30,0.34349,0.405159,0.327887,0.358752,0.358752,101784000.0,59
2018-05-01,0.359588,0.381462,0.328014,0.365282,0.365282,49946600.0,56
2018-05-02,0.365793,0.37789,0.357059,0.376826,0.376826,24063400.0,52
2018-05-03,0.375516,0.381967,0.357572,0.358263,0.358263,33289900.0,55
2018-05-04,0.35846500000000003,0.3667760000000001,0.345148,0.350707,0.350707,26268100.0,56
2018-05-05,0.350313,0.369179,0.348387,0.350051,0.350051,22650200.0,63
2018-05-06,0.350109,0.351031,0.30817100000000003,0.329621,0.329621,48422600.0,67
2018-05-07,0.329936,0.330963,0.302137,0.310259,0.310259,39018700.0,56
2018-05-08,0.310782,0.325804,0.303653,0.312382,0.312382,19518600.0,62
2018-05-09,0.312146,0.316126,0.28548,0.307686,0.307686,20039300.0,53
2018-05-10,0.307811,0.308814,0.266439,0.26665500000000003,0.26665500000000003,24788800.0,63
2018-05-11,0.267749,0.277121,0.231164,0.242414,0.242414,62630300.0,41
2018-05-12,0.242123,0.251671,0.209314,0.243658,0.243658,46999900.0,44
2018-05-13,0.2469510000000001,0.259103,0.239062,0.25705100000000003,0.25705100000000003,27244400.0,40
2018-05-14,0.256675,0.258802,0.235031,0.250813,0.250813,21932900.0,40
2018-05-15,0.250558,0.269621,0.246903,0.251524,0.251524,20002500.0,40
2018-05-16,0.25092600000000004,0.25092600000000004,0.237046,0.249401,0.249401,17329900.0,32
2018-05-17,0.249656,0.265069,0.240952,0.243817,0.243817,18750000.0,31
2018-05-18,0.24401,0.255114,0.237546,0.254245,0.254245,12092400.0,37
2018-05-19,0.254027,0.271934,0.248056,0.258748,0.258748,14051100.0,31
2018-05-20,0.258594,0.270353,0.254544,0.265549,0.265549,10253500.0,32
2018-05-21,0.26574200000000003,0.265864,0.24625,0.252531,0.252531,12686800.0,41
2018-05-22,0.25205900000000003,0.252768,0.224668,0.224668,0.224668,14902500.0,30
2018-05-23,0.224569,0.232491,0.180958,0.193336,0.193336,34940600.0,26
2018-05-24,0.193641,0.212586,0.182927,0.20613,0.20613,29143100.0,27
2018-05-25,0.206005,0.207111,0.190557,0.192549,0.192549,11480500.0,25
2018-05-26,0.193121,0.203999,0.191835,0.199037,0.199037,9683570.0,23
2018-05-27,0.200296,0.205467,0.195286,0.201655,0.201655,11161100.0,19
2018-05-28,0.201947,0.206992,0.185348,0.18535,0.18535,14885000.0,22
2018-05-29,0.185169,0.204474,0.184134,0.198818,0.198818,15102200.0,16
2018-05-30,0.1987,0.206502,0.19268,0.196306,0.196306,13196200.0,38
2018-05-31,0.196075,0.204018,0.193698,0.198475,0.198475,13507600.0,25
2018-06-01,0.198376,0.208487,0.197507,0.206961,0.206961,15191000.0,24
2018-06-02,0.207046,0.225325,0.205721,0.224444,0.224444,19604800.0,27
2018-06-03,0.224614,0.2452,0.224614,0.233453,0.233453,31715700.0,40
2018-06-04,0.23259,0.2354050000000001,0.218602,0.221645,0.221645,20298500.0,41
2018-06-05,0.221651,0.228564,0.206821,0.226697,0.226697,19174100.0,26
2018-06-06,0.226601,0.228791,0.211922,0.218911,0.218911,16645000.0,42
2018-06-07,0.218996,0.225081,0.215705,0.218986,0.218986,12044100.0,38
2018-06-08,0.219814,0.22130100000000005,0.212332,0.213343,0.213343,12110500.0,40
2018-06-09,0.21347,0.216552,0.208212,0.208212,0.208212,10478000.0,39
2018-06-10,0.207767,0.207767,0.16051300000000002,0.171785,0.171785,33716300.0,24
2018-06-11,0.172163,0.178481,0.155075,0.177522,0.177522,24427800.0,15
2018-06-12,0.176394,0.178286,0.151853,0.154392,0.154392,15006000.0,19
2018-06-13,0.154972,0.158642,0.149304,0.156063,0.156063,18800500.0,19
2018-06-14,0.156104,0.167787,0.154334,0.16583,0.16583,17262700.0,17
2018-06-15,0.165487,0.165801,0.15623900000000002,0.156904,0.156904,9265140.0,26
2018-06-16,0.15673900000000002,0.163385,0.15673900000000002,0.16176600000000002,0.16176600000000002,6865800.0,22
2018-06-17,0.161982,0.163517,0.159788,0.160154,0.160154,5366550.0,23
2018-06-18,0.160225,0.167486,0.15705999999999998,0.164078,0.164078,7171240.0,27
2018-06-19,0.164245,0.165487,0.160794,0.162187,0.162187,5903480.0,32
2018-06-20,0.162582,0.16272,0.15698,0.162103,0.162103,6391070.0,34
2018-06-21,0.162796,0.163838,0.159001,0.160828,0.160828,5211220.0,37
2018-06-22,0.160205,0.16059600000000002,0.134413,0.139444,0.139444,16214200.0,28
2018-06-23,0.13989300000000002,0.141151,0.133103,0.137262,0.137262,8031390.0,17
