Date,Open,High,Low,Close,Adj Close,Volume,sentiment
2018-02-01,0.590547,0.5914470000000001,0.441332,0.48108,0.48108,4250070.0,30
2018-02-02,0.47949,0.47949,0.332418,0.436532,0.436532,5801540.0,15
2018-02-03,0.432998,0.493945,0.397024,0.483389,0.483389,2369930.0,40
2018-02-04,0.481608,0.489941,0.363456,0.396141,0.396141,2605180.0,24
2018-02-05,0.389929,0.397798,0.311053,0.324719,0.324719,1937910.0,11
2018-02-06,0.327439,0.394915,0.271973,0.381158,0.381158,1921150.0,8
2018-02-07,0.379047,0.454903,0.353876,0.388095,0.388095,2714230.0,36
2018-02-08,0.384835,0.4377470000000001,0.383486,0.403438,0.403438,2276080.0,30
2018-02-09,0.404417,0.441507,0.381588,0.440403,0.440403,1804260.0,44
2018-02-10,0.440962,0.467043,0.387831,0.40902,0.40902,1843230.0,54
2018-02-11,0.409823,0.421231,0.371091,0.396102,0.396102,1948960.0,31
2018-02-12,0.399277,0.460478,0.399277,0.43824,0.43824,2950820.0,42
2018-02-13,0.4373510000000001,0.440404,0.406731,0.409166,0.409166,1666410.0,35
2018-02-14,0.407758,0.490795,0.406757,0.485687,0.485687,2282770.0,55
2018-02-15,0.486524,0.5092409999999999,0.460352,0.506729,0.506729,2334530.0,71
2018-02-16,0.505691,0.514197,0.476142,0.489721,0.489721,2220820.0,67
2018-02-17,0.489443,0.5277109999999999,0.484417,0.524374,0.524374,1834110.0,74
2018-02-18,0.525668,0.533702,0.439323,0.451593,0.451593,4558600.0,63
2018-02-19,0.45044,0.488186,0.444169,0.464376,0.464376,2336700.0,67
2018-02-20,0.464346,0.486252,0.447014,0.447014,0.447014,2707900.0,74
2018-02-21,0.44383,0.477835,0.433332,0.437152,0.437152,3152680.0,54
2018-02-22,0.436514,0.453832,0.401554,0.406797,0.406797,1628050.0,44
2018-02-23,0.40747,0.436789,0.365055,0.376203,0.376203,2973650.0,39
2018-02-24,0.372237,0.406234,0.352311,0.361487,0.361487,3294410.0,31
2018-02-25,0.360509,0.363902,0.33786,0.342381,0.342381,2262270.0,33
2018-02-26,0.343007,0.372061,0.341294,0.35319,0.35319,2431610.0,37
2018-02-27,0.35509,0.363811,0.342525,0.355941,0.355941,2319670.0,44
2018-02-28,0.357749,0.435478,0.357749,0.38041,0.38041,8320460.0,41
2018-03-01,0.38006,0.406019,0.360283,0.394681,0.394681,4883590.0,38
2018-03-02,0.390373,0.411778,0.370231,0.404976,0.404976,5179730.0,47
2018-03-03,0.40415,0.450005,0.390673,0.411734,0.411734,4440950.0,56
2018-03-04,0.407894,0.412108,0.37764,0.409775,0.409775,2278960.0,44
2018-03-05,0.418006,0.438383,0.393223,0.396143,0.396143,2749450.0,55
2018-03-06,0.394605,0.405581,0.358275,0.373307,0.373307,2902060.0,59
