class,f1_score,precision,recall,support
0,0.2857142857142857,0.2857142857142857,0.2857142857142857,14.0
1,0.5517241379310345,0.42105263157894735,0.8,10.0
2,0.13333333333333333,0.3333333333333333,0.08333333333333333,12.0
