Date,Open,High,Low,Close,Adj_Close,Volume,sentiment,VWAP,SMA_14,SMA_21,SMA_5,SMA_12,SMA_26,SMA_13,SMA_30,SMA_20,SMA_50,SMA_100,SMA_200,EMA_14,EMA_21,EMA_5,EMA_12,EMA_26,EMA_13,EMA_30,EMA_20,EMA_50,EMA_100,EMA_200,RSI_14,RSI_21,RSI_5,RSI_12,RSI_26,RSI_13,RSI_30,RSI_20,RSI_50,RSI_100,RSI_200,MACD_12_26_9,MACDH_12_26_9,MACDS_12_26_9,BBL_20,BBM_20,BBU_20,MOM,STOCHF_14,STOCHF_3,STOCH_5,STOCH_3,CMO,DPO,UO,lag_1,pct_change,trend
2018-02-01,3.115,3.18093,2.4198,2.63907,2.63907,217677.0,30,2.7466000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11490000000000045,0.0,0.0,,0
2018-02-02,2.63362,2.66945,2.15935,2.52417,2.52417,292511.0,15,2.5771150714834534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29730999999999863,0.0,2.63907,-4.353806454546493,-1
2018-02-03,2.4820900000000004,3.01277,2.24019,2.82148,2.82148,127858.0,40,2.6000326527084248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.599372478238724,10.969998634792118,34.10261410169643,17.738095948356584,9.051331776625622,16.600130652536812,7.940314770945769,11.455664255907754,4.920469158318583,2.522288800413322,1.2772523972916094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471820000000001,0.0,2.52417,11.77852521819056,1
2018-02-04,2.80019,2.86565,2.11786,2.34966,2.34966,62665.0,24,2.586113438036508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.32919155309056,9.277897360034874,20.675329660624424,13.592878113977285,7.876435680689928,12.931447799011044,7.025520394039737,9.619438312290225,4.557476413515152,2.424279843907392,1.2517530953459228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5484200000000001,0.0,2.82148,-16.722429363312873,-1
2018-02-05,2.3282700000000003,2.4349,1.7162,1.8012400000000002,1.8012400000000002,136165.0,11,2.4881642266158104,0.0,0.0,2.427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.427124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.776733603556801,7.810809426628988,13.345939352848287,10.502387434767646,6.8095184443377645,10.129256126872244,6.171524812069577,8.045507845181968,4.19092225945803,2.3185155023945185,1.2232257615417048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.805848176797104,0.0,0.0,0.0,0.0,-0.14918999999999905,0.0,2.34966,-23.34039818526935,-1
2018-02-06,1.80351,2.06822,1.42156,1.95043,1.95043,223420.0,8,2.3459821578565485,0.0,0.0,2.289396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.911096663689476,11.786139774935375,22.333777903104576,16.122560820503992,10.244153462525347,15.494004098127824,9.271703666137064,12.151209099984955,6.282438763067577,3.4755377591460466,1.834860703803456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2369706072737,0.0,0.0,0.0,0.0,-0.012629999999999251,0.0,1.8012400000000002,8.282627523261743,1
2018-02-07,1.93084,2.36299,1.82858,1.96306,1.96306,95239.0,36,2.3217145595503377,0.0,0.0,2.177174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.166504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.348046793130312,12.122217196023405,23.14360302917419,16.60286364981888,10.534035256144989,15.951418354939635,9.533187867115156,12.498491577151082,6.45876686611413,3.573196752131562,1.8865494142477064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.03070619214307,24.35784165873796,0.0,0.0,0.0,-0.1643899999999998,0.0,1.95043,0.6475495147223898,0
2018-02-08,1.95521,2.32097,1.95521,2.12745,2.12745,54548.0,30,2.3132772738040828,0.0,0.0,2.038368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.153486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.00513652074996,16.461943182473778,33.90739354803837,22.833507055338274,14.276193107024625,21.878608644047837,12.909076247822291,16.9835938892235,8.738378958545082,4.838888002803642,2.55770624609146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.88130241189954,38.71632640377211,0.0,0.0,0.0,-0.14736999999999956,0.0,1.96306,8.374170937210268,1
2018-02-09,2.13928,2.28687,1.98239,2.27482,2.27482,65160.0,44,2.306536809781874,0.0,0.0,2.0234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1939306666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.769814366869888,20.164619036222287,42.56117109368327,28.053693961848612,17.489110977662154,26.858294387484975,15.81903490908043,20.804617006228632,10.727715990965702,5.956557983973906,3.1545688267540752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.20273550831904,55.70491470412056,41.231512579286495,0.0,0.0,0.05179000000000045,0.0,2.12745,6.927072316623195,1
2018-02-10,2.27648,2.38004,2.05883,2.22303,2.22303,53289.0,54,2.303091119082316,0.0,0.0,2.107758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2036304444444443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.19755470129055,19.84085256742405,40.334055236782646,27.34932084867411,17.25312125328111,26.22562143888253,15.629393439175065,20.457170909620427,10.644542640992656,5.93182930453405,3.1477590758209932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.61885485351807,72.23429759124556,56.79411391463069,0.0,0.0,0.17706,0.0,2.27482,-2.27666364811282,-1
