Date,Open,High,Low,Close,Adj Close,Volume,sentiment,fng_classification
2018-02-01,2.15518,2.2556599999999998,1.67503,1.8329900000000001,1.8329900000000001,2286440.0,30,Fear
2018-02-02,1.81987,1.81987,1.34569,1.7149599999999998,1.7149599999999998,2127960.0,15,Extreme Fear
2018-02-03,1.72796,1.95806,1.5761399999999999,1.88283,1.88283,1334220.0,40,Fear
2018-02-04,1.87353,1.8841299999999999,1.5206899999999999,1.60504,1.60504,1044980.0,24,Extreme Fear
2018-02-05,1.58996,1.6377,1.0906200000000001,1.1721,1.1721,1870140.0,11,Extreme Fear
2018-02-06,1.17319,1.39035,0.900418,1.38431,1.38431,2994190.0,8,Extreme Fear
2018-02-07,1.37176,1.6623400000000002,1.2670700000000001,1.3755,1.3755,1662250.0,36,Fear
2018-02-08,1.37669,1.54361,1.37669,1.4821799999999998,1.4821799999999998,1408550.0,30,Fear
2018-02-09,1.48694,1.6561099999999995,1.4096600000000001,1.63458,1.63458,388257.0,44,Fear
2018-02-10,1.62389,1.68775,1.4845,1.55974,1.55974,854683.0,54,Neutral
2018-02-11,1.55683,2.0141400000000003,1.45028,1.77213,1.77213,16219400.0,31,Fear
2018-02-12,1.7809700000000002,2.11859,1.7809700000000002,1.8667,1.8667,7849580.0,42,Fear
2018-02-13,1.86248,1.8948,1.7840599999999998,1.80483,1.80483,2227200.0,35,Fear
2018-02-14,1.7935900000000002,1.97665,1.7873900000000005,1.9513900000000002,1.9513900000000002,1430660.0,55,Greed
2018-02-15,1.9504,2.09139,1.9275799999999998,2.03675,2.03675,1137600.0,71,Greed
2018-02-16,2.0424700000000002,2.07707,1.9498900000000001,2.0592200000000003,2.0592200000000003,955050.0,67,Greed
2018-02-17,2.05127,2.24246,2.02999,2.11531,2.11531,1240590.0,74,Greed
2018-02-18,2.1169700000000002,2.1417200000000003,1.93585,1.95616,1.95616,680786.0,63,Greed
2018-02-19,1.94395,2.12608,1.93595,2.07748,2.07748,1314950.0,67,Greed
2018-02-20,2.09456,2.13636,1.83228,1.83228,1.83228,1304060.0,74,Greed
2018-02-21,1.83822,1.87828,1.6774,1.7431599999999998,1.7431599999999998,742593.0,54,Neutral
2018-02-22,1.73879,1.85015,1.5759100000000001,1.67098,1.67098,1726190.0,44,Fear
2018-02-23,1.6697099999999998,1.85245,1.6262,1.8029,1.8029,1223660.0,39,Fear
2018-02-24,1.80129,1.8686599999999998,1.6494400000000002,1.7037200000000001,1.7037200000000001,703733.0,31,Fear
2018-02-25,1.6978400000000002,1.7463,1.6442700000000001,1.7105299999999999,1.7105299999999999,519307.0,33,Fear
2018-02-26,1.70927,1.77384,1.6479700000000002,1.7492400000000001,1.7492400000000001,688900.0,37,Fear
2018-02-27,1.75205,1.8978,1.72927,1.82863,1.82863,968421.0,44,Fear
2018-02-28,1.82235,1.9610900000000002,1.77657,1.80404,1.80404,1596080.0,41,Fear
2018-03-01,1.8150099999999998,1.9669900000000002,1.80765,1.9466,1.9466,1097800.0,38,Fear
2018-03-02,1.94468,2.10439,1.81938,1.89408,1.89408,3516920.0,47,Neutral
2018-03-03,1.8898599999999999,2.0083599999999997,1.82237,2.0047,2.0047,3257480.0,56,Greed
2018-03-04,2.00075,2.00075,1.8332400000000002,1.9109,1.9109,894811.0,44,Fear
2018-03-05,1.9047,1.9487599999999998,1.88011,1.90478,1.90478,955260.0,55,Greed
2018-03-06,1.86877,1.86877,1.6431,1.67435,1.67435,731364.0,59,Greed
2018-03-07,1.66612,2.11749,1.42445,1.54872,1.54872,8767070.0,37,Fear
2018-03-08,1.53912,1.73977,1.39042,1.42087,1.42087,4074930.0,39,Fear
2018-03-09,1.4032799999999999,1.46075,1.25381,1.37829,1.37829,1193470.0,37,Fear
2018-03-10,1.38219,1.52791,1.31965,1.32494,1.32494,1148310.0,39,Fear
2018-03-11,1.3215,1.46489,1.27406,1.43784,1.43784,457371.0,40,Fear
2018-03-12,1.4335799999999999,1.48563,1.29589,1.37056,1.37056,440196.0,41,Fear
2018-03-13,1.3634,1.39029,1.28721,1.3070700000000002,1.3070700000000002,501992.0,41,Fear
2018-03-14,1.31516,1.4352,1.15315,1.18498,1.18498,1765540.0,40,Fear
2018-03-15,1.18315,1.19134,1.06739,1.14258,1.14258,787078.0,32,Fear
2018-03-16,1.13499,1.14954,1.06724,1.09991,1.09991,440710.0,33,Fear
2018-03-17,1.09786,1.1087200000000001,0.9781569999999999,0.9879020000000001,0.9879020000000001,329692.0,31,Fear
2018-03-18,0.986683,1.02478,0.8168770000000001,1.0236299999999998,1.0236299999999998,717287.0,29,Fear
2018-03-19,1.0185600000000001,1.0649899999999999,0.970973,1.04245,1.04245,441683.0,29,Fear
2018-03-20,1.0549899999999999,1.25127,1.0201799999999999,1.2078799999999998,1.2078799999999998,1437120.0,37,Fear
2018-03-21,1.21046,1.30576,1.1556799999999998,1.1683700000000001,1.1683700000000001,1260310.0,36,Fear
2018-03-22,1.1656799999999998,1.229,1.07415,1.13612,1.13612,617144.0,36,Fear
2018-03-23,1.13447,1.13447,1.02516,1.07453,1.07453,492355.0,28,Fear
2018-03-24,1.1026,1.24884,1.04976,1.06857,1.06857,1511750.0,32,Fear
2018-03-25,1.05338,1.27416,1.04636,1.19062,1.19062,2137380.0,30,Fear
2018-03-26,1.1931100000000001,1.23768,1.05728,1.1156700000000002,1.1156700000000002,1764730.0,31,Fear
2018-03-27,1.1072,1.1358700000000002,1.02294,1.04185,1.04185,709878.0,24,Extreme Fear
2018-03-28,1.04037,1.0866799999999999,1.02443,1.02505,1.02505,465251.0,24,Extreme Fear
2018-03-29,1.0312299999999999,1.03239,0.831512,0.848131,0.848131,695902.0,18,Extreme Fear
2018-03-30,0.845282,0.915531,0.791572,0.8467979999999999,0.8467979999999999,441263.0,12,Extreme Fear
2018-03-31,0.8462940000000001,0.909639,0.8462940000000001,0.864892,0.864892,801758.0,16,Extreme Fear
2018-04-01,0.865002,0.8838799999999999,0.779316,0.803404,0.803404,351007.0,16,Extreme Fear
2018-04-02,0.808863,0.8723479999999999,0.7917069999999999,0.845874,0.845874,625124.0,11,Extreme Fear
2018-04-03,0.8455159999999999,0.916773,0.8275870000000001,0.892375,0.892375,538172.0,22,Extreme Fear
2018-04-04,0.892906,0.9058209999999999,0.79471,0.801912,0.801912,504269.0,22,Extreme Fear
2018-04-05,0.806197,0.8915059999999999,0.781704,0.8218290000000001,0.8218290000000001,1857990.0,17,Extreme Fear
2018-04-06,0.8164140000000001,0.8300620000000001,0.7781359999999999,0.8148850000000001,0.8148850000000001,556237.0,19,Extreme Fear
2018-04-07,0.816527,0.8616440000000001,0.8057350000000001,0.8300549999999999,0.8300549999999999,324695.0,20,Extreme Fear
2018-04-08,0.8303290000000001,0.8671059999999999,0.827535,0.860928,0.860928,412374.0,17,Extreme Fear
2018-04-09,0.862108,0.935902,0.812249,0.8376,0.8376,1947070.0,21,Extreme Fear
2018-04-10,0.8330420000000001,0.9319709999999999,0.823586,0.8839629999999999,0.8839629999999999,2775810.0,18,Extreme Fear
2018-04-11,0.8861389999999999,0.962583,0.875292,0.962242,0.962242,1992430.0,20,Extreme Fear
2018-04-12,0.956252,1.13773,0.9085540000000001,1.13404,1.13404,2223810.0,18,Extreme Fear
2018-04-13,1.14225,1.17211,1.0785200000000001,1.0891899999999999,1.0891899999999999,1536430.0,23,Extreme Fear
2018-04-14,1.08236,1.1680700000000002,1.07711,1.14666,1.14666,755517.0,23,Extreme Fear
2018-04-15,1.14939,1.18499,1.1279299999999999,1.1836,1.1836,586928.0,23,Extreme Fear
2018-04-16,1.1873,1.19685,1.1071,1.12899,1.12899,647400.0,23,Extreme Fear
2018-04-17,1.1372,1.17906,1.12238,1.12568,1.12568,1037590.0,26,Fear
2018-04-18,1.12896,1.27552,1.12696,1.26881,1.26881,2782950.0,24,Extreme Fear
2018-04-19,1.26698,1.4845700000000002,1.2554100000000001,1.37322,1.37322,2935320.0,25,Extreme Fear
2018-04-20,1.37927,2.64581,1.3183,1.42372,1.42372,2407630.0,26,Fear
2018-04-21,1.42888,1.42888,1.28281,1.42519,1.42519,1373130.0,32,Fear
2018-04-22,1.4212200000000001,1.54541,1.39723,1.4608,1.4608,2156950.0,31,Fear
2018-04-23,1.4560600000000001,1.6105399999999999,1.40603,1.43464,1.43464,2088920.0,28,Fear
2018-04-24,1.43021,1.5181,1.42125,1.49666,1.49666,2767100.0,29,Fear
2018-04-25,1.49558,1.50589,1.1858,1.23194,1.23194,2004610.0,64,Greed
2018-04-26,1.2428299999999999,1.4217799999999998,1.19973,1.3973,1.3973,2838320.0,47,Neutral
2018-04-27,1.40035,1.45624,1.32626,1.32626,1.32626,2507590.0,55,Greed
2018-04-28,1.31781,1.41925,1.30834,1.40629,1.40629,1424810.0,54,Neutral
2018-04-29,1.40952,1.44678,1.35525,1.4231200000000002,1.4231200000000002,1716650.0,61,Greed
2018-04-30,1.41949,1.5256399999999999,1.37721,1.4432200000000002,1.4432200000000002,3544300.0,59,Greed
2018-05-01,1.44182,1.44308,1.3460299999999998,1.42087,1.42087,1372720.0,56,Greed
2018-05-02,1.4183,1.48464,1.38244,1.46904,1.46904,1694620.0,52,Neutral
2018-05-03,1.46767,1.4936200000000002,1.4411100000000001,1.45913,1.45913,1891090.0,55,Greed
2018-05-04,1.45182,1.4646,1.3973200000000001,1.42107,1.42107,1303140.0,56,Greed
2018-05-05,1.4215799999999998,1.4578200000000001,1.3396299999999999,1.38125,1.38125,1311070.0,63,Greed
