class,f1_score,precision,recall,support
0,0.1904761904761905,0.25,0.15384615384615385,13.0
1,0.4166666666666667,0.3333333333333333,0.5555555555555556,9.0
2,0.29629629629629634,0.3076923076923077,0.2857142857142857,14.0
